name,sex,total,max,nb_years,trendiness
Kizzy,F,2325,1116,30,0.48
Deneen,F,3603,1604,52,0.445
Royalty,F,1806,747,14,0.414
Mareli,F,1024,411,21,0.401
Moesha,F,1067,426,14,0.399
Marely,F,2577,1004,28,0.39
Kanye,M,1319,508,16,0.385
Tennille,F,2172,769,32,0.354
Aitana,F,1625,564,23,0.347
Kadijah,F,1418,486,36,0.343
Shaquille,M,5439,1784,29,0.328
Catina,F,4178,1370,47,0.328
Allisson,F,2377,767,21,0.323
Emberly,F,1471,467,34,0.317
Nakia,M,1991,612,40,0.307
Jaslene,F,2870,872,17,0.304
Kyrie,M,5858,1774,31,0.303
Akeelah,F,1331,403,17,0.303
Zayn,M,3347,988,25,0.295
Talan,M,3640,1059,28,0.291
